Protein	Pannzer
WP_003513639.1	3-isopropylmalate dehydrogenase(0.643990290342)
WP_003518765.1	Stage III sporulation protein AH(0.466705273286)
WP_003517200.1	Phosphoribosylanthranilate isomerase(0.635713977562)
WP_003515439.1	glycosyltransferase family 1 protein [Ruminiclostridium thermocellum](0.26972615388)
WP_014522619.1	Ferrous iron transport protein B(0.562626807873)
WP_003515298.1	Pyruvate ferredoxin oxidoreductase gamma subunit(0.575191545264)
WP_003517230.1	zf-HC2 domain-containing protein(0.270659975114)
WP_003514910.1	ABC transporter transmembrane region(0.314751115737)
WP_003515817.1	Bla regulator protein BlaR1(0.562731988807)
WP_003520176.1	Trp operon repressor family(0.752207668009)
WP_003513251.1	Phage shock protein A, PspA(0.499810072203)
WP_003512598.1	Signal peptidase I(0.433587812765)
WP_003517663.1	Endoglucanase F(0.59978487772)
WP_003517375.1	Cystathionine gamma-synthase(0.549272068715)
WP_003514187.1	Zinc-ribbon domain-containing protein(0.263300728728)
WP_003516780.1	Serine O-acetyltransferase(0.564630636875)
WP_003518573.1	Asparagine synthase(0.699700169233)
WP_003518711.1	Chemotaxis protein methyltransferase CheR(0.546537606611)
WP_003512576.1	Fe-S cluster domain-containing protein(0.76493244186)
WP_003515877.1	50S ribosomal protein L13(0.526243884076)
WP_003515590.1	Trehalose transport system permease protein SugB(0.291065795641)
WP_003514867.1	Hydrogenase maturation nickel metallochaperone HypA(0.523133812389)
WP_003518139.1	MATE family efflux transporter [Ruminiclostridium thermocellum](0.377770230325)
WP_003513241.1	Spore cortex-lytic enzyme, lytic transglycosylase SleB(0.784145514145)
WP_003519167.1	Chemotaxis protein CheC(0.491688241233)
WP_003516227.1	CheR-type MCP methyltransferase(0.503665943987)
WP_003515809.1	Urease subunit alpha(0.606245275502)
WP_003514865.1	4Fe-4S dicluster domain-containing protein [Ruminiclostridium thermocellum](0.417599707261)
WP_003517649.1	16S rRNA methyltransferase B(0.390846883656)
WP_003518861.1	Putative nucleoside transporter YegT(0.334741025844)
WP_003516225.1	Nucleoside diphosphate kinase(0.495375420317)
WP_003514863.1	Membrane-bound hydrogenase subunit alpha(0.799083053343)
WP_003519505.1	D-alanyl-D-alanine carboxypeptidase VanY(0.497852918082)
WP_003514024.1	Prophage Lp4 protein 7(0.70617278546)
WP_003515437.1	Capsular polysaccharide biosynthesis protein CapD(0.352700732922)
WP_003515930.1	sporulation protein YunB [Ruminiclostridium thermocellum](0.497904699703)
WP_003518707.1	Hybrid sensor histidine kinase/response regulator(0.261837985407)
WP_003512282.1	Glutamate synthase domain-containing protein 3(0.558412546719)
WP_003516233.1	HTH-type transcriptional regulator CymR(0.419918250733)
WP_003515936.1	Cell shape determination protein CcmA(0.411493932074)
WP_003518001.1	poly-gamma-glutamate biosynthesis protein [Ruminiclostridium thermocellum](0.455486423173)
WP_003516235.1	Cysteine desulfurase IscS(0.465366592349)
WP_003518468.1	CoA protein activase(0.766452158404)
WP_003518003.1	Pyruvate formate-lyase-activating enzyme(0.664406469917)
WP_003516589.1	Putative membrane protein YkvI(0.719789454923)
ADU74168.1	Transposase(0.317081705072)
WP_003515879.1	30S ribosomal protein S9(0.51469744272)
WP_003519231.1	zinc ribbon domain-containing protein [Ruminiclostridium thermocellum](0.443525090133)
WP_003515381.1	Polysaccharide pyruvyl transferase CsaB(0.622714898435)
WP_003519113.1	AMP-forming long-chain acyl-CoA synthetase(0.465171145601)
ADU73938.1	Response regulators consisting of a CheY-like receiver domain and an HD-GYP domain(0.679984134342)
WP_003516585.1	dockerin [Ruminiclostridium thermocellum](0.642024772915)
WP_003514700.1	Sporulation kinase A(0.289381395639)
WP_003512772.1	DUF2179 domain-containing protein (Fragment)(0.420855357235)
WP_003516583.1	glycoside hydrolase [Ruminiclostridium thermocellum](0.436328995786)
WP_003519463.1	Serine/threonine protein phosphatase(0.436696060935)
WP_003517320.1	Iron(III)-transport system permease protein SfuB(0.362170905827)
WP_003514092.1	Na+-transporting methylmalonyl-CoA/oxaloacetate decarboxylase, beta subunit(0.734044164058)
WP_003511783.1	sporulation protein [Ruminiclostridium thermocellum](0.549790698322)
ADU75767.1	Putative ABC transporter permease protein yesQ(0.343407478765)
WP_003518251.1	2-isopropylmalate synthase(0.640204486878)
WP_003516899.1	Intramembrane serine protease GlpG(0.421130294814)
WP_003517651.1	Ribosomal RNA large subunit methyltransferase N(0.584644179829)
ADU74518.1	tRNA (guanine-N(1)-)-methyltransferase(0.601121650856)
WP_003517339.1	Glycine radical enzyme YjjI(0.792395132306)
WP_003519459.1	Pyrophosphate-energized proton pump(0.65157460188)
ADU75688.1	Hedgehog/intein hint domain protein [Ruminiclostridium thermocellum DSM 1313](0.652226723252)
WP_003515910.1	NifU-related domain-containing protein(0.764007935949)
WP_003517218.1	Soluble lytic murein transglycosylase(0.356168507955)
WP_003512928.1	Flagellar biosynthesis protein FlgJ(0.624149012784)
WP_003513688.1	Ribonuclease BN(0.367364120088)
WP_003519094.1	NAD(P)-dependent iron-only hydrogenase diaphorase component iron-sulfur protein(0.783351664737)
WP_003514815.1	Cell cycle protein, FtsW/RodA/SpoVE family(0.485335037097)
WP_003513862.1	copper amine oxidase [Ruminiclostridium thermocellum](0.381108669643)
WP_003520874.1	Cysteine-rich CPCC(0.783326339358)
WP_003517383.1	flavin reductase [Ruminiclostridium thermocellum](0.524717296396)
WP_003521788.1	Laminaribiose ABC transporter membrane protein /nucleoside ABC transporter membrane protein(0.478742412338)
WP_003517105.1	Beta(1,3)galactosyltransferase EpsH(0.795652838406)
WP_003516239.1	tRNA-specific 2-thiouridylase MnmA(0.636925016229)
WP_003517741.1	Rubrerythrin domain-containing protein(0.633789176195)
WP_003517381.1	Methylated-DNA--protein-cysteine methyltransferase(0.528417047683)
WP_003517830.1	ECF RNA polymerase sigma-E factor(0.282192334426)
WP_003515596.1	Stage IV sporulation protein A(0.786399745883)
WP_003514081.1	amidohydrolase [Ruminiclostridium thermocellum](0.371241054331)
WP_003517621.1	Asparagine synthetase, glutamine-hydrolyzing(0.531312890386)
WP_003518909.1	O6-methylguanine-dna methyltransferase Ogt(0.610432509343)
WP_003516142.1	HTH-type transcriptional repressor RspR(0.380958333008)
WP_014522613.1	DUF881 domain-containing protein [Ruminiclostridium thermocellum](0.481432890517)
ADU73908.1	Integral membrane sensor signal transduction histidine kinase(0.28375996171)
WP_003514085.1	dockerin [Ruminiclostridium thermocellum](0.60161725884)
WP_003517377.1	Methionine import ATP-binding protein MetN(0.528926674246)
WP_003516897.1	Calcium-translocating P-type ATPase(0.491510430384)
WP_003515545.1	Transcription termination/antitermination protein NusA(0.565372958081)
WP_003517391.1	Short chain enoyl-CoA hydratase(0.310003547327)
WP_003517192.1	Type IV pilus assembly PilZ(0.420028219389)
WP_003514341.1	SsrA-binding protein SmpB(0.492700972425)
WP_003513087.1	Predicted metal-dependent protease of the PAD1/JAB1 superfamily(0.567384033)
WP_003517756.1	GGACT domain-containing protein(0.371940532617)
WP_003518976.1	Pseudaminic acid synthase PseI(0.571154491539)
WP_003515361.1	Elongation factor G(0.512138056449)
WP_003519133.1	Phosphoglucosamine mutase(0.56197158459)
WP_003516498.1	Sulfur carrier protein ThiS adenylyltransferase ThiF(0.579871426781)
WP_003514745.1	Predicted ABC transporter, ATPase component(0.34361556999)
WP_003515555.1	Phosphatidate cytidylyltransferase CdsA(0.492031439125)
WP_003512173.1	Type I glyceraldehyde-3-phosphate dehydrogenase(0.592729708337)
WP_003518386.1	copper amine oxidase [Ruminiclostridium thermocellum](0.593375235702)
WP_003513660.1	Carbohydrate binding domain-containing protein(0.404732046379)
WP_003513083.1	TusA-related sulfurtransferase(0.59410920905)
WP_003512113.1	Type IV pilus assembly PilZ(0.440742356279)
WP_003511675.1	Predicted transcriptional regulator(0.366176610162)
WP_003517641.1	Peptide deformylase(0.526391736518)
WP_003512254.1	Holliday junction ATP-dependent DNA helicase RuvA(0.503703574837)
WP_003519374.1	Cellulosome anchor protein(0.783005096772)
WP_003516518.1	Histidinol-phosphate aminotransferase(0.598118796101)
WP_003518709.1	Protein-glutamate methylesterase/protein-glutamine glutaminase(0.696655037422)
WP_014522587.1	Putative HTH-type transcriptional regulator ydhC(0.402254044859)
WP_003516151.1	AraC family transcriptional regulator [Ruminiclostridium thermocellum](0.279779508528)
WP_003515373.1	ABC transporter [Ruminiclostridium thermocellum](0.422191628336)
WP_003518261.1	Phosphate ABC transporter ATP-binding protein (Fragment)(0.312357960471)
WP_003512101.1	UPF0047 protein Bsu YugU(0.509540195642)
ADU74249.1	Phosphate acetyltransferase Pta(0.563892707217)
WP_003513352.1	Ribonuclease P protein component(0.53441126638)
WP_003516153.1	Putative esterase YxiM(0.628352462414)
WP_003513529.1	MazG-like domain containing protein(0.79537642732)
WP_003517405.1	Glutamine synthetase catalytic region(0.465143377313)
WP_003517374.1	O-acetylserine dependent cystathionine beta-synthase(0.432398494782)
WP_003520913.1	Indole-3-glycerol phosphate synthase TrpC(0.577489766166)
WP_003517504.1	Pantetheine-phosphate adenylyltransferase(0.530753669086)
WP_003514601.1	Sporulation-specific glycosylase YdhD(0.386389696129)
WP_003515363.1	DNA-directed RNA polymerase subunit beta'(0.445197745841)
WP_003520929.1	DNA primase(0.517008710899)
WP_003511615.1	Phage SPO1 DNA polymerase-related protein(0.601816472393)
WP_003512924.1	ABC-type antimicrobial peptide transport system, ATPase component (Fragment)(0.710058209625)
WP_003511573.1	Universal stress protein UspA(0.538872829671)
WP_014522599.1	YD repeat-containing protein(0.405398516206)
WP_003511667.1	Non-heme haloperoxidase family protein(0.793180400925)
WP_003512682.1	Cellooligosaccharide-binding protein(0.527179408661)
WP_003519428.1	zinc-ribbon domain-containing protein [Ruminiclostridium thermocellum](0.2911138672)
WP_003517965.1	Flagellar hook protein FlgE(0.517909721695)
WP_003512926.1	exopolysaccharide biosynthesis protein [Ruminiclostridium thermocellum](0.353311306531)
WP_003511571.1	Histone family protein DNA-binding protein(0.626945169194)
WP_003511665.1	von Willebrand factor type A(0.361879398975)
WP_003513929.1	Deoxyribose-phosphate aldolase(0.678929655548)
WP_003512146.1	chemotaxis protein CheX [Ruminiclostridium thermocellum](0.674967370498)
WP_003511605.1	Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr(0.384282897685)
WP_003513777.1	HTH-type transcriptional regulator CymR(0.608485521735)
WP_003512148.1	Putative tRNA (cytidine(34)-2'-O)-methyltransferase(0.766439292038)
WP_003513925.1	FmdB family transcriptional regulator(0.501495802032)
WP_003513957.1	Ribosomal large subunit pseudouridine synthase C(0.389691550832)
WP_003517722.1	copper amine oxidase [Ruminiclostridium thermocellum](0.522168783112)
WP_003514630.1	30S ribosomal protein S19(0.530785421418)
WP_003513955.1	Peptidoglycan-binding (PGRP) domain of peptidoglycan hydrolases-containing protein(0.494610742763)
WP_003512152.1	Beta-ketoacyl-acyl-carrier-protein synthase III(0.384459171038)
WP_003515820.1	Outer membrane lipoprotein carrier protein LolA(0.421934123988)
ADU75247.1	Pimeloyl-CoA synthetase(0.381613555913)
WP_003517969.1	flagellar basal body-associated protein FliL [Ruminiclostridium thermocellum](0.55174704909)
WP_003513953.1	UV DNA damage repair endonuclease UvsE(0.783681546746)
WP_003517399.1	Glutamyl-tRNA amidotransferase(0.374042116797)
WP_003515736.1	Bifunctional protein FolD(0.54662789212)
WP_003516868.1	Sporulation protein YyaC(0.786492190575)
WP_003519426.1	copper amine oxidase [Ruminiclostridium thermocellum](0.530645252253)
WP_003517967.1	Flagellar protein FlbD(0.784301022868)
WP_003515365.1	DNA-directed RNA polymerase subunit beta(0.429709005421)
WP_003511746.1	Trk system potassium transport protein TrkA(0.418123804255)
WP_003518614.1	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase PgsA(0.462268157129)
WP_003516021.1	Bacteriophage/Gene transfer agent portal protein(0.53126873732)
WP_003517264.1	protein translocase subunit SecD [Ruminiclostridium thermocellum](0.475152421331)
WP_003518616.1	Ribosomal protein S12 methylthiotransferase RimO(0.55597211271)
WP_003513783.1	Response regulators consisting of a CheY-like receiver domain and a HTH DNA-binding domain(0.319907096147)
WP_003520552.1	Two component transcriptional regulator, winged helix family(0.321481105948)
WP_003519039.1	Aldehyde-alcohol dehydrogenase(0.783656969493)
WP_014522593.1	RHS repeat-associated core domain protein(0.34602291879)
WP_003516023.1	ATP-dependent Clp protease proteolytic subunit(0.452148217786)
WP_003511730.1	Small acid-soluble spore proteins alpha/beta type(0.712026563964)
WP_003516641.1	Modulator of FtsH protease HflK(0.412996079669)
WP_003517266.1	Metal dependent phosphohydrolase(0.419938244764)
WP_003517378.1	D-methionine transport system permease protein MetI(0.479569982417)
WP_003519037.1	Redox-sensing transcriptional repressor Rex(0.639490263265)
WP_003517065.1	D-aminoacyl-tRNA deacylase(0.564341646757)
WP_003514597.1	Type IV pilus assembly PilZ(0.364840213905)
WP_003516031.1	Prophage TMP(0.571161211851)
WP_041740033.1	zf-ISL3 domain-containing protein(0.706481807629)
WP_003513452.1	Methylenetetrahydrofolate reductase(0.566459554168)
WP_003517597.1	Serine/threonine protein phosphatase PrpC(0.300342877837)
WP_003517298.1	PglZ domain-containing protein [Ruminiclostridium thermocellum](0.742883632684)
WP_003518514.1	pectinesterase [Ruminiclostridium thermocellum](0.370181547307)
WP_003517071.1	Single-stranded-DNA-specific exonuclease RecJ(0.560844420453)
WP_003518911.1	Sulfite exporter TauE/SafE(0.58860114699)
WP_003515738.1	YgiQ family radical SAM protein (Fragment)(0.69172439053)
WP_003516053.1	CRISPR-associated protein Cas4 [Ruminiclostridium thermocellum](0.785447957985)
WP_003518272.1	Arabinogalactan endo-1,4-beta-galactosidase(0.787547924359)
WP_003513882.1	Orn/Lys/Arg decarboxylase major region(0.664480867309)
WP_003518863.1	Stage V sporulation protein R(0.789751956877)
WP_003512025.1	Asparagine--tRNA ligase(0.70871283915)
WP_003518173.1	Serine-type D-Ala-D-Ala carboxypeptidase(0.530302099104)
WP_003511748.1	Potassium transporter KefA(0.614764322616)
WP_003517296.1	helicase [Ruminiclostridium thermocellum](0.42217941319)
WP_003517403.1	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B(0.548272816489)
WP_003518961.1	4Fe-4S ferredoxin, iron-sulfur binding protein(0.415717005598)
WP_003518538.1	EVE domain-containing protein [Ruminiclostridium thermocellum](0.733280177964)
WP_003518175.1	Glucanase(0.460472693464)
WP_003517257.1	Pantothenate synthetase(0.564495718499)
WP_003512944.1	UDP-N-acetylglucosamine 1-carboxyvinyltransferase(0.451565148194)
WP_003518901.1	Thymidylate synthase(0.557640136835)
WP_003517259.1	Ketopantoate hydroxymethyltransferase(0.635968219579)
WP_003516413.1	Glycerol kinase GlpK(0.520185650091)
WP_003518298.1	Sensory transduction protein regX3(0.361107044917)
WP_003517067.1	GTP pyrophosphokinase, (P)ppGpp synthetase I(0.554911451653)
WP_003517268.1	Thioether cross-link-forming SCIFF peptide maturase(0.784532156716)
WP_003513209.1	RnfABCDGE type electron transport complex subunit D(0.665705214864)
WP_003516429.1	Abortive infection protein(0.318533898395)
WP_003513205.1	Ion-translocating oxidoreductase complex subunit A(0.687016645929)
WP_003511986.1	Vitamin B12-dependent ribonucleotide reductase(0.606839539455)
WP_003518403.1	biotin transporter BioY [Ruminiclostridium thermocellum](0.524744805394)
WP_003512380.1	tRNA-splicing ligase RtcB(0.56318241278)
WP_003513089.1	Sulfur carrier protein adenylyltransferase ThiF(0.448766891568)
WP_003514245.1	DUF4097 and DUF4098 domain-containing protein YvlB(0.448817848189)
WP_003514166.1	signal peptidase I [Ruminiclostridium thermocellum](0.435636959888)
WP_003517069.1	Adenine phosphoribosyltransferase(0.548448463692)
WP_003513203.1	RnfABCDGE type electron transport complex subunit B(0.652085406672)
WP_003512688.1	Beta-propeller domain-containing protein, methanol dehydrogenase(0.346668844536)
WP_003512382.1	transglutaminase domain-containing protein [Ruminiclostridium thermocellum](0.533370407394)
WP_003519458.1	Lantibiotic ABC transporter permease(0.786414830748)
WP_003515943.1	Iron chelate uptake ABC transporter solute-binding protein(0.590114917537)
WP_003517666.1	Nitroreductase(0.485433426888)
WP_003512583.1	NAD(P)-dependent iron-only hydrogenase diaphorase component flavoprotein(0.551614625078)
WP_003513219.1	Release factor glutamine methyltransferase(0.415358086751)
WP_003518456.1	Two-component system chemotaxis sensor kinase CheA(0.550066911347)
WP_003517294.1	Adenine specific DNA methylase Mod(0.615451332646)
WP_003519013.1	Rhamnogalacturonan endolyase YesW(0.62841796209)
WP_003513674.1	1,4-alpha-glucan branching enzyme GlgB(0.540621612806)
WP_003513248.1	DNA repair exonuclease [Ruminiclostridium thermocellum](0.347810423884)
WP_003517600.1	Fur family transcriptional regulator, ferric uptake regulator(0.358478461457)
WP_003517085.1	Single-stranded DNA-binding protein(0.403991828414)
WP_003515463.1	Threonylcarbamoyl-AMP synthase(0.608547649583)
WP_003518858.1	Purine nucleoside phosphorylase I, inosine and guanosine-specific(0.552686959173)
WP_003516704.1	Permease component of ABC-type sugar transporter(0.356144839673)
WP_003520339.1	Cell division protein FtsQ(0.444714578081)
WP_003513588.1	DUF115 domain-containing protein [Ruminiclostridium thermocellum](0.414960530041)
WP_004463317.1	Hut operon positive regulator HutP(0.839824032212)
WP_014522626.1	Mutator family transposase(0.593285542059)
WP_003513207.1	Ion-translocating oxidoreductase complex subunit G(0.662367478505)
WP_003511980.1	Probable transcription regulator, lacI/xre family(0.46935842226)
WP_003519740.1	tRNA threonylcarbamoyladenosine dehydratase(0.620857546329)
WP_003518401.1	Anti-sigma factor(0.366208863639)
WP_003518540.1	ResIII domain-containing protein(0.370566693507)
WP_003518143.1	CRISPR-associated protein Cas5 [Ruminiclostridium thermocellum](0.634632442986)
WP_003512448.1	Isocitrate dehydrogenase(0.558988621846)
WP_003516837.1	Enterochelin esterase-like enzyme(0.447638378068)
WP_003518542.1	16S rRNA methyltransferase(0.573065542769)
WP_003518145.1	CRISPR-associated helicase/endonuclease Cas3 [Ruminiclostridium thermocellum](0.434461289741)
WP_003512281.1	FAD-dependent pyridine nucleotide-disulfide oxidoreductase(0.394048671553)
WP_037294864.1	LuxR family transcriptional regulator(0.41067867087)
WP_014522650.1	HintN domain-containing protein (Fragment)(0.538531832357)
WP_003517602.1	Zinc ABC superfamily ATP binding cassette transporter, binding protein(0.784024558567)
WP_003520327.1	Glutamine-dependent NAD(+) synthetase(0.65239320594)
WP_003515800.1	High-affinity branched-chain amino acid ABC transporter permease(0.324410610894)
ADU75526.1	Tad domain-containing protein(0.477409591528)
WP_003515019.1	50S ribosomal protein L10(0.49469877254)
WP_003511683.1	Alpha-ribazole-5'-phosphate phosphatase, CobC(0.569705197654)
WP_003516421.1	type 3a cellulose-binding domain protein [Ruminiclostridium thermocellum](0.791769142805)
WP_003512777.1	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase(0.763248182305)
WP_003513676.1	N-acetylglucosamine-6-phosphate deacetylase(0.614980670844)
WP_003512291.1	DNA helicase(0.521694688166)
WP_003513362.1	Ribosomal RNA small subunit methyltransferase G(0.506572209875)
WP_003516423.1	HD domain-containing protein [Ruminiclostridium thermocellum](0.288861489883)
WP_003514134.1	Cysteine--tRNA ligase(0.589925476301)
WP_003511558.1	N6-adenine-specific DNA methylase(0.431381009701)
WP_003518536.1	Adenine-specific DNA-methyltransferase(0.356241226171)
WP_003520620.1	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase(0.725183981935)
WP_003515456.1	ATP synthase subunit beta(0.510711942878)
WP_003518664.1	ATP-dependent helicase [Ruminiclostridium thermocellum](0.444890185335)
WP_003513364.1	DNA gyrase subunit A(0.505808565845)
ADU74708.1	Transposase(0.309021095094)
WP_003514136.1	4 TMS phage holin, superfamily IV(0.500937045291)
WP_003515075.1	Zinc metalloprotease (Elastase)(0.484752030609)
WP_003515678.1	Probable tRNA sulfurtransferase(0.702109115176)
WP_003515458.1	UDP-N-acetyl glucosamine-2-epimerase(0.492225595482)
WP_003518809.1	Aryl-phospho-beta-D-glucosidase BglC, GH1 family(0.486014284035)
WP_003513366.1	Metal dependent phosphohydrolase(0.435024946507)
WP_003512636.1	Peptide chain release factor 2(0.506294715583)
WP_003517769.1	Transcriptional regulator(0.386827200983)
WP_003516839.1	Carbohydrate binding family 6(0.351150068652)
WP_003520835.1	Pyridoxal phosphate-dependent aminotransferase(0.548307585788)
WP_003512494.1	DNA topoisomerase (ATP-hydrolyzing)(0.599817504008)
WP_003515696.1	Exported peptidoglycan N-acetylmuramic acid deacetylase(0.453987220797)
WP_003518726.1	Response regulator PleD(0.305405975794)
WP_003516435.1	Gamma-D-glutamyl-L-lysine endopeptidase(0.457940430464)
WP_003514737.1	Oligopeptide transport system permease protein OppB(0.349703936752)
WP_003516997.1	Bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC(0.501971181365)
WP_003519087.1	Methyltransferase(0.249495596487)
WP_041740025.1	zf-ISL3 domain-containing protein(0.705428371303)
WP_003518801.1	Imidazole glycerol phosphate synthase subunit HisH(0.492975087018)
WP_003519210.1	Regulatory protein MarR(0.35960953938)
WP_003517781.1	DNA-binding PadR family transcriptional regulator(0.484391393886)
WP_003518034.1	Radical SAM domain-containing protein(0.346947520036)
WP_003512293.1	PD-(D/E)XK nuclease family protein [Ruminiclostridium thermocellum](0.440428345762)
WP_003514814.1	Penicillin-binding protein A(0.531451440629)
WP_003516282.1	Spermidine Putrescine ABC transporter permease component PotB(0.345362368882)
WP_003516364.1	Isoleucine--tRNA ligase(0.642504684457)
WP_003512010.1	RNA polymerase sigma factor SigI(0.792323402845)
WP_003519089.1	Phosphoribulokinase/uridine kinase(0.455808885308)
WP_014522653.1	HintN domain-containing protein (Fragment)(0.571483903523)
WP_003519329.1	ATP-dependent Clp protease ATP-binding subunit ClpA(0.36922489001)
WP_003516284.1	Spermidine/putrescine import ATP-binding protein PotA(0.583936217651)
WP_003517715.1	Copper amine oxidase N-terminal domain-containing protein(0.339616577995)
WP_003513335.1	DNA replication and repair protein RecF(0.500596929881)
WP_003515550.1	Flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase(0.591341582365)
WP_003516286.1	Transcriptional regulator, XRE family with cupin sensor(0.3635750332)
WP_003519132.1	Glucosamine-fructose-6-phosphate aminotransferase(0.647964725969)
WP_003515692.1	Stage IV sporulation protein YqfD(0.690283045657)
WP_003517717.1	Glycosyltransferase involved in cell wall biosynthesis(0.332680146013)
WP_003517815.1	Transcriptional regulator(0.362835468712)
WP_003516592.1	Ribonucleoside triphosphate reductase(0.529481648031)
WP_003513296.1	Middle cell wall protein(0.636400169517)
WP_003517194.1	CbiA domain-containing protein(0.543024402572)
WP_003517337.1	Glycine radical enzyme activase(0.789514395538)
WP_003515690.1	Phosphate starvation-inducible protein PhoH, predicted ATPase(0.498905353484)
ADU73909.1	Osmosensitive K+ channel histidine kinase KdpD(0.424718599419)
WP_003517711.1	ATPase/histidine kinase/DNA gyrase B/HSP90 domain protein(0.298713492127)
WP_003518724.1	Arginine repressor(0.606293972133)
WP_003516358.1	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase(0.65837620291)
WP_003512126.1	Glycogen debranching enzyme(0.606984898449)
WP_003513423.1	UDP-N-acetylglucosamine 1-carboxyvinyltransferase(0.444916113292)
WP_003515852.1	Transcriptional regulator CtsR(0.78422057227)
WP_003517839.1	Phage derived protein Gp49-like(0.580499693454)
WP_003515921.1	Macrolide export ATP-binding/permease protein MacB(0.421568150461)
WP_003512128.1	HPr-like protein crh Catabolite repression HPr(0.658599717323)
ADU74423.1	Rubrerythrin(0.6661087544)
WP_003517807.1	X-X-X-Leu-X-X-Gly heptad repeats(0.783367034576)
WP_003513703.1	carboxypeptidase regulatory-like domain-containing protein [Ruminiclostridium thermocellum](0.71673388779)
WP_003512995.1	Amidohydrolase(0.437737765461)
WP_003512012.1	SEC-C domain-containing protein (Fragment)(0.596751157697)
WP_003518590.1	Stage V sporulation protein S(0.784582441484)
WP_003517316.1	Fe3+ ABC superfamily ATP binding cassette transporter, binding protein(0.48780185385)
WP_003512104.1	Riboflavin biosynthesis protein RibD(0.535748502678)
WP_003512915.1	Bifunctional protein GlmU(0.572969981015)
WP_003514304.1	30S ribosomal protein S12(0.540463965231)
WP_003517454.1	Phosphoribosylformylglycinamidine cyclo-ligase(0.645874893676)
WP_003518887.1	Leucyl/phenylalanyl-tRNA--protein transferase(0.614268051348)
WP_003512569.1	DUF1848 domain-containing protein [Ruminiclostridium thermocellum](0.805862320988)
WP_003511642.1	Glycosyltransferase(0.409189379028)
WP_003517408.1	Helix-turn-helix transcriptional regulator(0.341550365543)
WP_003515563.1	Uridylate kinase(0.549007537362)
WP_003514658.1	50S ribosomal protein L30(0.570395677444)
WP_003518359.1	Precorrin-2 oxidase(0.473487121927)
WP_003512648.1	AIR carboxylase(0.671378441037)
WP_003517797.1	FprA family A-type flavoprotein (Fragment)(0.529194228018)
WP_003519337.1	Valine--tRNA ligase(0.631646194166)
WP_003519170.1	Isochorismatase hydrolase(0.491199804959)
WP_003517773.1	ABC transporter transmembrane region(0.346957967516)
WP_003518633.1	Carbamoyl phosphate synthase small subunit(0.513499733191)
WP_003517823.1	Penicillin binding protein(0.488367703933)
WP_003518773.1	Stage III sporulation protein AD(0.788405943957)
WP_003518893.1	Cyclic beta 1-2 glucan synthetase(0.571178896296)
WP_003515069.1	Anti-sigma factor antagonist(0.502844709989)
WP_003518357.1	Sulfate adenylyltransferase, large subunit(0.509117653232)
WP_003516356.1	Methyl-accepting chemotaxis sensory transducer(0.264023373213)
WP_003512130.1	Anti-sigma F factor(0.787081653762)
WP_003519140.1	Diadenylate cyclase(0.63575122419)
WP_003519166.1	DUF155 domain-containing protein(0.743352819166)
WP_003517709.1	DNA-binding response regulator, OmpR family, contains REC and winged-helix (WHTH) domain(0.3122971843)
WP_003516511.1	Competence protein ComEC(0.435793612857)
WP_003513756.1	copper amine oxidase [Ruminiclostridium thermocellum](0.596529952781)
WP_003514672.1	50S ribosomal protein L36(0.534586966445)
WP_003516354.1	Carbohydrate phosphatase(0.356034531911)
WP_003513950.1	tagatose-6-phosphate kinase [Ruminiclostridium thermocellum](0.425794312621)
WP_003512136.1	Stage V sporulation protein AC(0.695993767379)
WP_003515575.1	Predicted protease(0.366114594111)
WP_003515789.1	copper amine oxidase [Ruminiclostridium thermocellum](0.513898621239)
WP_003516513.1	Endoglucanase(0.428433808035)
WP_003516352.1	YlbF family regulator [Ruminiclostridium thermocellum](0.603166097561)
WP_003516374.1	Cell division protein SepF(0.636083448456)
WP_003519663.1	Transcriptional regulatory protein DltR(0.379549504728)
WP_003512106.1	Riboflavin synthase subunit alpha(0.506927606182)
WP_003516515.1	Endoglucanase M(0.427905911442)
WP_003517994.1	Putative polymerase with PALM domain, HD hydrolase domain and Zn ribbon(0.596602692691)
WP_003518885.1	ATP-dependent Clp protease ATP-binding subunit ClpA(0.620589284163)
WP_003515698.1	DUF881 domain-containing protein [Ruminiclostridium thermocellum](0.567147421088)
WP_003516243.1	Histidinol-phosphatase(0.513324713831)
WP_003517719.1	NADPH-dependent FMN reductase RutF(0.418267178052)
WP_003513578.1	Translational regulator CsrA(0.663462041535)
WP_003518341.1	radical SAM protein [Ruminiclostridium thermocellum](0.36646904739)
WP_014522629.1	Cell shape-determining protein MreC(0.421614146876)
WP_003512699.1	Methyl-accepting chemotaxis sensory transducer(0.30192684562)
WP_003517791.1	Methyl-accepting chemotaxis sensory transducer(0.259828612736)
WP_014522590.1	Predicted DNA-binding transcriptional regulator YafY, contains an HTH and WYL domains(0.414778631668)
WP_003519168.1	Nicotinate phosphoribosyltransferase(0.565256153784)
