#;Locus tag;Length;Product;Completeness;Gene onthology;SEED;Protein databases;Genome annotation databases;Family and domain databases;Crossreferences;
94;WP_003512438.1 MULTISPECIES: spore coat protein [Bacteria];102;Coat F domain protein;100.00% [102/102];;;Uniprot (A3DC40)|Interpro (A3DC40);KEGG (cth:Cthe_0280)|KEGG GM (cth:Cthe_0280);Interpro (IPR012851)|Pfam (PF07875);NCBI (489607997)|EMBL (CP000568);
95;WP_003515328.1 hypothetical protein [Hungateiclostridium thermocellum];204;Uncharacterized protein;99.03% [204/206];GO:0016021 - integral component of membrane;;Uniprot (A3DJ46)|Interpro (A3DJ46);KEGG (cth:Cthe_2776)|KEGG GM (cth:Cthe_2776);;NCBI (125715483)|EMBL (CP000568);
96;WP_003512436.1 hypothetical protein [Hungateiclostridium thermocellum];62;Uncharacterized protein;86.11% [62/72];;;Uniprot (A3DC39)|Interpro (A3DC39);KEGG (cth:Cthe_0279)|KEGG GM (cth:Cthe_0279);;NCBI (125713026)|EMBL (CP000568);
97;WP_003514693.1 CarD family transcriptional regulator [Hungateiclostridium thermocellum];158;Transcriptional regulator CarD family;100.00% [158/158];;;Uniprot (A3DJK9)|Interpro (A3DJK9);KEGG (cth:Cthe_2940)|KEGG GM (cth:Cthe_2940);Interpro (IPR036101)|Interpro (IPR003711)|Interpro (IPR042215)|Pfam (PF02559);NCBI (489610252)|EMBL (CP000568);
98;WP_003518978.1 hypothetical protein [Ruminiclostridium thermocellum];Blast running;;;;;;;;;
99;WP_003518535.1 hypothetical protein [Hungateiclostridium thermocellum];90;Uncharacterized protein;97.83% [90/92];;;Uniprot (A0A078KS47)|Interpro (A0A078KS47);KEGG (ccel:CCDG5_0800)|KEGG GM (ccel:CCDG5_0800);;NCBI (769952211)|EMBL (LM995447);
100;WP_003513564.1 hypothetical protein [Hungateiclostridium thermocellum];147;Regulatory protein MerR;100.00% [147/147];;;Uniprot (A3DHM0)|Interpro (A3DHM0);KEGG (cth:Cthe_2247)|KEGG GM (cth:Cthe_2247);;NCBI (489609123)|EMBL (CP000568);
101;WP_003515496.1 hypothetical protein [Hungateiclostridium thermocellum];202;Uncharacterized protein;100.00% [202/202];;;Uniprot (A3DE25)|Interpro (A3DE25);KEGG (cth:Cthe_0972)|KEGG GM (cth:Cthe_0972);;NCBI (489611055)|EMBL (CP000568);
102;WP_003516761.1 hypothetical protein [Hungateiclostridium thermocellum];79;Uncharacterized protein;100.00% [79/79];;;Uniprot (A3DH60)|Interpro (A3DH60);KEGG (cth:Cthe_2082)|KEGG GM (cth:Cthe_2082);;NCBI (489612320)|EMBL (CP000568);
103;WP_003515490.1 DinB family protein [Hungateiclostridium thermocellum];223;DinB_2 domain-containing protein;97.81% [223/228];;;Uniprot (A3DII6)|Interpro (A3DII6);KEGG (cth:Cthe_2564)|KEGG GM (cth:Cthe_2564);Interpro (IPR024775)|Interpro (IPR034660)|Pfam (PF12867);NCBI (521293595)|EMBL (CP000568);
104;ADU73862.1 hypothetical protein Clo1313_0789 [Hungateiclostridium thermocellum DSM 1313];72;Uncharacterized protein;87.80% [72/82];;;Uniprot (A3DBB8)|Interpro (A3DBB8);KEGG (cth:Cthe_0005)|KEGG GM (cth:Cthe_0005);Interpro (IPR015943);NCBI (489607452)|EMBL (CP000568);
105;WP_003517637.1 hypothetical protein [Hungateiclostridium thermocellum];139;Uncharacterized protein;100.00% [139/139];;;Uniprot (A3DCX2)|Interpro (A3DCX2);KEGG (cth:Cthe_0565)|KEGG GM (cth:Cthe_0565);;NCBI (489613196)|EMBL (CP000568);
106;WP_003515468.1 hypothetical protein [Hungateiclostridium thermocellum];67;Uncharacterized protein;40.61% [67/165];;;Uniprot (A3DIK8)|Interpro (A3DIK8);KEGG (cth:Cthe_2587)|KEGG GM (cth:Cthe_2587);;NCBI (521293605)|EMBL (CP000568);
107;WP_003517308.1 hypothetical protein [Hungateiclostridium thermocellum];137;Uncharacterized protein;100.00% [137/137];;;Uniprot (A3DFT8)|Interpro (A3DFT8);KEGG (cth:Cthe_1591)|KEGG GM (cth:Cthe_1591);;NCBI (489612867)|EMBL (CP000568);
108;WP_003519393.1 hypothetical protein [Hungateiclostridium thermocellum];27;Uncharacterized protein;29.35% [27/92];;;Uniprot (A0A4U7JAJ2)|Interpro (A0A4U7JAJ2);;;EMBL (RQSR01000014);
109;WP_003519030.1 spore coat associated protein CotJA [Hungateiclostridium thermocellum];84;Uncharacterized protein;98.82% [84/85];;;Uniprot (A3DCH5)|Interpro (A3DCH5);KEGG (cth:Cthe_0416)|KEGG GM (cth:Cthe_0416);Interpro (IPR020256)|Pfam (PF11007);NCBI (500163158)|EMBL (CP000568);
110;WP_003513552.1 hypothetical protein [Hungateiclostridium thermocellum];134;Uncharacterized protein;100.00% [134/134];GO:0016021 - integral component of membrane;;Uniprot (A3DHM3)|Interpro (A3DHM3);KEGG (cth:Cthe_2250)|KEGG GM (cth:Cthe_2250);;NCBI (489609111)|EMBL (CP000568);
111;WP_003514722.1 hypothetical protein [Hungateiclostridium thermocellum];173;Uncharacterized protein;100.00% [173/173];;;Uniprot (A3DJM6)|Interpro (A3DJM6);KEGG (cth:Cthe_2957)|KEGG GM (cth:Cthe_2957);;NCBI (489610281)|EMBL (CP000568);
112;WP_003517300.1 hypothetical protein [Hungateiclostridium thermocellum];105;Uncharacterized protein;71.43% [105/147];;;Uniprot (A0A1V4WAI2)|Interpro (A0A1V4WAI2);;;EMBL (MVQL01000036);
113;WP_003521554.1 hypothetical protein [Hungateiclostridium thermocellum];317;Uncharacterized protein;100.00% [317/317];;;Uniprot (A3DJG5)|Interpro (A3DJG5);KEGG (cth:Cthe_2896)|KEGG GM (cth:Cthe_2896);;NCBI (489617114)|EMBL (CP000568);
114;WP_003518067.1 GerMN domain-containing protein [Hungateiclostridium thermocellum];390;Lipoprotein LpqB GerMN domain-containing protein;100.00% [390/390];;;Uniprot (A3DBU9)|Interpro (A3DBU9);KEGG (cth:Cthe_0187)|KEGG GM (cth:Cthe_0187);Interpro (IPR019606)|Pfam (PF10646);NCBI (489613626)|EMBL (CP000568);
115;WP_037295109.1 MULTISPECIES: hypothetical protein [Hungateiclostridium];89;Uncharacterized protein;100.00% [89/89];;;Uniprot (W4VDX8)|Interpro (W4VDX8);;;EMBL (BAVR01000131);
116;WP_003511583.1 DUF1858 domain-containing protein [Hungateiclostridium thermocellum];68;DUF1858 domain-containing protein;100.00% [68/68];;;Uniprot (A3DK08)|Interpro (A3DK08);KEGG (cth:Cthe_3092)|KEGG GM (cth:Cthe_3092);Interpro (IPR023883)|Interpro (IPR015077)|Interpro (IPR038062)|Pfam (PF08984);NCBI (197107113)|EMBL (CP000568);
117;WP_003517302.1 hypothetical protein [Hungateiclostridium thermocellum];80;Uncharacterized protein;91.95% [80/87];;;Uniprot (A0A1I7GYX9)|Interpro (A0A1I7GYX9);;;EMBL (FPBR01000021);
118;ADU74950.1 hypothetical protein Clo1313_1899 [Hungateiclostridium thermocellum DSM 1313];57;Uncharacterized protein;100.00% [57/57];;;Uniprot (G2JC65)|Interpro (G2JC65);KEGG (cth:Cthe_3308)|KEGG GM (cth:Cthe_3308);;NCBI (345548278)|EMBL (CP000568);
119;WP_003516624.1 hypothetical protein [Hungateiclostridium thermocellum];199;Uncharacterized protein;100.00% [199/199];;;Uniprot (A3DD63)|Interpro (A3DD63);KEGG (cth:Cthe_0657)|KEGG GM (cth:Cthe_0657);;NCBI (489612183)|EMBL (CP000568);
120;WP_003516186.1 hypothetical protein [Hungateiclostridium thermocellum];56;Sodium pump decarboxylase gamma subunit;100.00% [56/56];;;Uniprot (G2JC73)|Interpro (G2JC73);KEGG (cth:Cthe_3326)|KEGG GM (cth:Cthe_3326);;NCBI (489611745)|EMBL (CP000568);
121;WP_003517475.1 hypothetical protein [Hungateiclostridium thermocellum];151;Uncharacterized protein;100.00% [151/151];;;Uniprot (A3DEV8)|Interpro (A3DEV8);KEGG (cth:Cthe_1255)|KEGG GM (cth:Cthe_1255);;NCBI (489613034)|EMBL (CP000568);
122;WP_003518741.1 hypothetical protein [Hungateiclostridium thermocellum];261;Uncharacterized protein;100.00% [261/261];;;Uniprot (A3DDN2)|Interpro (A3DDN2);KEGG (cth:Cthe_0826)|KEGG GM (cth:Cthe_0826);;NCBI (489614300)|EMBL (CP000568);
123;WP_003512326.1 hypothetical protein [Hungateiclostridium thermocellum];66;Uncharacterized protein;75.86% [66/87];GO:0016021 - integral component of membrane;;Uniprot (A3DBY4)|Interpro (A3DBY4);KEGG (cth:Cthe_0222)|KEGG GM (cth:Cthe_0222);;NCBI (125712971)|EMBL (CP000568);
124;WP_003516357.1 hypothetical protein [Hungateiclostridium thermocellum];341;Membrane protein;87.44% [341/390];;;Uniprot (W4V4P7)|Interpro (W4V4P7);;Interpro (IPR007487)|Interpro (IPR028082)|Pfam (PF04392);NCBI (740455911)|EMBL (BAVR01000009);
125;WP_003511511.1 hypothetical protein [Hungateiclostridium thermocellum];411;Uncharacterized protein;99.52% [411/413];;;Uniprot (A3DJY2)|Interpro (A3DJY2);KEGG (cth:Cthe_3065)|KEGG GM (cth:Cthe_3065);;NCBI (521293747)|EMBL (CP000568);
126;WP_003517812.1 hypothetical protein [Hungateiclostridium thermocellum];202;Uncharacterized protein;100.00% [202/202];GO:0016021 - integral component of membrane;;Uniprot (A3DFH9)|Interpro (A3DFH9);KEGG (cth:Cthe_1479)|KEGG GM (cth:Cthe_1479);Interpro (IPR005325)|Pfam (PF03729);NCBI (489613371)|EMBL (CP000568);
127;WP_003511655.1 DUF3787 domain-containing protein [Hungateiclostridium thermocellum];55;Uncharacterized protein;100.00% [55/55];;;Uniprot (A3DK37)|Interpro (A3DK37);KEGG (cth:Cthe_3121)|KEGG GM (cth:Cthe_3121);Interpro (IPR024209)|Pfam (PF12655);NCBI (489607214)|EMBL (CP000568);
128;WP_003513706.1 hypothetical protein [Hungateiclostridium thermocellum];65;Uncharacterized protein;100.00% [65/65];;;Uniprot (A3DHF0)|Interpro (A3DHF0);KEGG (cth:Cthe_2177)|KEGG GM (cth:Cthe_2177);;NCBI (489609265)|EMBL (CP000568);
129;WP_003516556.1 hypothetical protein [Hungateiclostridium thermocellum];470;Uncharacterized protein;100.00% [470/470];;;Uniprot (A3DD32)|Interpro (A3DD32);KEGG (cth:Cthe_0626)|KEGG GM (cth:Cthe_0626);Interpro (IPR027417);NCBI (489612115)|EMBL (CP000568);
130;WP_003516588.1 hypothetical protein [Hungateiclostridium thermocellum];61;Uncharacterized protein;100.00% [61/61];;;Uniprot (A3DD48)|Interpro (A3DD48);KEGG (cth:Cthe_0642)|KEGG GM (cth:Cthe_0642);;NCBI (489612147)|EMBL (CP000568);
131;WP_003511659.1 MULTISPECIES: Hsp20/alpha crystallin family protein [Hungateiclostridium];149;Heat-shock protein Hsp20;100.00% [149/149];;;Uniprot (A0A2S8R6X0)|Interpro (A0A2S8R6X0);;Interpro (IPR002068)|Interpro (IPR031107)|Interpro (IPR008978)|Pfam (PF00011);NCBI (489607218)|EMBL (NEMB01000003);
132;WP_003519322.1 hypothetical protein [Hungateiclostridium thermocellum];322;Uncharacterized protein;100.00% [322/322];GO:0016021 - integral component of membrane;;Uniprot (A3DGR2)|Interpro (A3DGR2);KEGG (cth:Cthe_1922)|KEGG GM (cth:Cthe_1922);;NCBI (489614881)|EMBL (CP000568);
133;WP_003517996.1 hypothetical protein [Hungateiclostridium thermocellum];194;Uncharacterized protein;100.00% [194/194];GO:0016021 - integral component of membrane;;Uniprot (A3DCQ8)|Interpro (A3DCQ8);KEGG (cth:Cthe_0500)|KEGG GM (cth:Cthe_0500);;NCBI (489613555)|EMBL (CP000568);
134;ADU73619.1 hypothetical protein Clo1313_0535 [Hungateiclostridium thermocellum DSM 1313];260;Uncharacterized protein;100.00% [260/260];GO:0016021 - integral component of membrane;;Uniprot (A3DJQ3)|Interpro (A3DJQ3);KEGG (cth:Cthe_2986)|KEGG GM (cth:Cthe_2986);;NCBI (125715690)|EMBL (CP000568);
135;ADU74568.1 hypothetical protein Clo1313_1506 [Hungateiclostridium thermocellum DSM 1313];51;Uncharacterized protein;100.00% [51/51];GO:0016021 - integral component of membrane;;Uniprot (G2JC74)|Interpro (G2JC74);KEGG (cth:Cthe_3327)|KEGG GM (cth:Cthe_3327);;NCBI (345548289)|EMBL (CP000568);
136;WP_003517925.1 hypothetical protein [Hungateiclostridium thermocellum];134;Uncharacterized protein;100.00% [134/134];;;Uniprot (A3DCL3)|Interpro (A3DCL3);KEGG (cth:Cthe_0454)|KEGG GM (cth:Cthe_0454);;NCBI (489613484)|EMBL (CP000568);
137;WP_003521121.1 hypothetical protein [Hungateiclostridium thermocellum];143;Uncharacterized protein;76.06% [143/188];;;Uniprot (W4VDV7)|Interpro (W4VDV7);;;NCBI (489610562)|EMBL (BAVR01000122);
138;WP_003514104.1 hypothetical protein [Hungateiclostridium thermocellum];130;Uncharacterized protein;100.00% [130/130];;;Uniprot (A3DH30)|Interpro (A3DH30);KEGG (cth:Cthe_2052)|KEGG GM (cth:Cthe_2052);;NCBI (489609663)|EMBL (CP000568);
139;WP_003513834.1 PadR family transcriptional regulator [Hungateiclostridium thermocellum];113;Transcriptional regulator PadR-like family;83.09% [113/136];;CBSS-1352.1.peg.856;Uniprot (A3DGN6)|Interpro (A3DGN6);KEGG (cth:Cthe_1895)|KEGG GM (cth:Cthe_1895);Interpro (IPR005149)|Interpro (IPR036388)|Interpro (IPR036390)|Pfam (PF03551);NCBI (125714623)|EMBL (CP000568);
140;ADU74051.1 H+-ATPase subunit H [Hungateiclostridium thermocellum DSM 1313];145;H+-ATPase subunit H;94.16% [145/154];;;Uniprot (A3DEX8)|Interpro (A3DEX8);KEGG (cth:Cthe_1275)|KEGG GM (cth:Cthe_1275);;NCBI (489613062)|EMBL (CP000568);
141;WP_003511931.1 alpha/beta fold hydrolase [Hungateiclostridium thermocellum];258;Carboxylesterase;100.00% [258/258];GO:0080030 - methyl indole-3-acetate esterase activity;Biotin biosynthesis Experimental|YhgH|Biotin biosynthesis;Uniprot (A3DBD6)|Interpro (A3DBD6);KEGG (cth:Cthe_0023)|KEGG GM (cth:Cthe_0023)|KEGG EC (3.1.1.85);Interpro (IPR029058)|Interpro (IPR000073)|Interpro (IPR022742)|Pfam (PF12146);NCBI (489607490)|EMBL (CP000568);
142;WP_003511954.1 Hsp20/alpha crystallin family protein [Hungateiclostridium thermocellum];142;Heat shock protein Hsp20;100.00% [142/142];;;Uniprot (A3DBE9)|Interpro (A3DBE9);KEGG (cth:Cthe_0037)|KEGG GM (cth:Cthe_0037);Interpro (IPR002068)|Interpro (IPR008978)|Pfam (PF00011);NCBI (489607513)|EMBL (CP000568);
143;WP_037294720.1 hypothetical protein [Ruminiclostridium thermocellum];Blast running;;;;;;;;;
144;WP_080514909.1 hypothetical protein [Ruminiclostridium thermocellum];Blast running;;;;;;;;;
145;WP_003512518.1 hypothetical protein [Hungateiclostridium thermocellum];223;Uncharacterized protein;100.00% [223/223];GO:0016021 - integral component of membrane;;Uniprot (A3DC76)|Interpro (A3DC76);KEGG (cth:Cthe_0317)|KEGG GM (cth:Cthe_0317);;NCBI (489608077)|EMBL (CP000568);
146;WP_003516856.1 hypothetical protein [Hungateiclostridium thermocellum];Blast running;;;;;;;;;
147;WP_003519067.1 (2Fe-2S) ferredoxin domain-containing protein [Hungateiclostridium thermocellum];81;Uncharacterized protein;100.00% [81/81];;;Uniprot (A3DCJ0)|Interpro (A3DCJ0);KEGG (cth:Cthe_0431)|KEGG GM (cth:Cthe_0431);Interpro (IPR036249);NCBI (489614626)|EMBL (CP000568);
148;WP_003517913.1 YlmC/YmxH family sporulation protein [Hungateiclostridium thermocellum];86;Sporulation protein YlmC/YmxH family;100.00% [86/86];;CBSS-279010.5.peg.1697;Uniprot (A3DCK8)|Interpro (A3DCK8);KEGG (cth:Cthe_0449)|KEGG GM (cth:Cthe_0449);Interpro (IPR027275)|Interpro (IPR011033)|Interpro (IPR014238)|Pfam (PF05239);NCBI (489613472)|EMBL (CP000568);
149;WP_003520671.1 MULTISPECIES: hypothetical protein [Firmicutes];63;Uncharacterized protein;100.00% [63/63];;;Uniprot (A0A231VGW1)|Interpro (A0A231VGW1);;;NCBI (1226599789)|EMBL (MINB01000002);
150;WP_003513430.1 hypothetical protein [Hungateiclostridium thermocellum];239;Uncharacterized protein;100.00% [239/239];;;Uniprot (A3DHT4)|Interpro (A3DHT4);KEGG (cth:Cthe_2311)|KEGG GM (cth:Cthe_2311);Interpro (IPR037126);NCBI (489608989)|EMBL (CP000568);
151;WP_003518957.1 hypothetical protein [Hungateiclostridium thermocellum];210;GyrI-like domain-containing protein;98.13% [210/214];;;Uniprot (A3DBE1)|Interpro (A3DBE1);KEGG (cth:Cthe_0029)|KEGG GM (cth:Cthe_0029);Interpro (IPR029442)|Interpro (IPR011256)|Interpro (IPR008319)|Pfam (PF06445);NCBI (489607497)|EMBL (CP000568);
152;WP_003518454.1 S-layer homology domain-containing protein [Hungateiclostridium thermocellum];1000;S-layer domain-containing protein;99.90% [1000/1001];;;Uniprot (A3DGS1)|Interpro (A3DGS1);KEGG (cth:Cthe_1932)|KEGG GM (cth:Cthe_1932);Interpro (IPR001119)|Pfam (PF00395);NCBI (489609465)|EMBL (CP000568);
153;WP_037294997.1 hypothetical protein [Ruminiclostridium thermocellum];29;Uncharacterized protein;49.15% [29/59];;;Uniprot (A0A4Q0I1I3)|Interpro (A0A4Q0I1I3);;;EMBL (RLII01000087);
154;WP_003514776.1 transporter substrate-binding domain-containing protein [Hungateiclostridium thermocellum];290;Extracellular solute-binding protein family 3;100.00% [290/290];;;Uniprot (A3DJQ0)|Interpro (A3DJQ0);KEGG (cth:Cthe_2982)|KEGG GM (cth:Cthe_2982);Interpro (IPR001638)|Pfam (PF00497);NCBI (489610335)|EMBL (CP000568);
155;ADU75802.1 hypothetical protein Clo1313_2822 [Hungateiclostridium thermocellum DSM 1313];46;Uncharacterized protein;100.00% [46/46];;;Uniprot (G2JCB9)|Interpro (G2JCB9);KEGG (cth:Cthe_3384)|KEGG GM (cth:Cthe_3384);;NCBI (345548349)|EMBL (CP000568);
156;WP_003513022.1 hypothetical protein [Hungateiclostridium thermocellum];584;Uncharacterized protein;98.48% [584/593];;;Uniprot (A3DII5)|Interpro (A3DII5);KEGG (cth:Cthe_2563)|KEGG GM (cth:Cthe_2563);;NCBI (521293594)|EMBL (CP000568);
157;WP_003512863.1 sporulation protein YabP [Hungateiclostridium thermocellum];96;Sporulation protein YabP;100.00% [96/96];;Sporulation Cluster;Uniprot (A3DIS9)|Interpro (A3DIS9);KEGG (cth:Cthe_2659)|KEGG GM (cth:Cthe_2659);Interpro (IPR012504)|Interpro (IPR022476)|Interpro (IPR038705)|Pfam (PF07873);NCBI (489608422)|EMBL (CP000568);
158;WP_003513010.1 hypothetical protein [Hungateiclostridium thermocellum];428;Uncharacterized protein;99.53% [428/430];;;Uniprot (A3DIJ7)|Interpro (A3DIJ7);KEGG (cth:Cthe_2576)|KEGG GM (cth:Cthe_2576);;NCBI (521293601)|EMBL (CP000568);
159;WP_003516528.1 ACT domain-containing protein [Hungateiclostridium thermocellum];143;Amino acid-binding ACT domain protein;100.00% [143/143];;Aromatic amino acid interconversions with aryl acids;Uniprot (A3DD22)|Interpro (A3DD22);KEGG (cth:Cthe_0616)|KEGG GM (cth:Cthe_0616);Interpro (IPR002912)|Pfam (PF01842);NCBI (489612087)|EMBL (CP000568);
160;WP_037294497.1 hypothetical protein [Hungateiclostridium thermocellum];Blast running;;;;;;;;;
161;WP_003513074.1 hypothetical protein [Hungateiclostridium thermocellum];108;Uncharacterized protein;100.00% [108/108];;;Uniprot (A3DIG9)|Interpro (A3DIG9);KEGG (cth:Cthe_2547)|KEGG GM (cth:Cthe_2547);;NCBI (489608633)|EMBL (CP000568);
162;ADU75725.1 hypothetical protein Clo1313_2741 [Hungateiclostridium thermocellum DSM 1313];73;Uncharacterized protein;98.65% [73/74];;;Uniprot (A3DH60)|Interpro (A3DH60);KEGG (cth:Cthe_2082)|KEGG GM (cth:Cthe_2082);;NCBI (489612320)|EMBL (CP000568);
163;WP_003520677.1 MULTISPECIES: hypothetical protein [Bacteria];64;Uncharacterized protein;100.00% [64/64];;;Uniprot (G8M052)|Interpro (G8M052);KEGG (ccl:Clocl_3705)|KEGG GM (ccl:Clocl_3705);;NCBI (489616237)|EMBL (CP003065);
164;ADU75944.1 hypothetical protein Clo1313_2966 [Hungateiclostridium thermocellum DSM 1313];152;Uncharacterized protein;100.00% [152/152];GO:0016021 - integral component of membrane;;Uniprot (A3DHR5)|Interpro (A3DHR5);KEGG (cth:Cthe_2292)|KEGG GM (cth:Cthe_2292);;NCBI (125715002)|EMBL (CP000568);
165;WP_003516105.1 copper amine oxidase N-terminal domain-containing protein [Hungateiclostridium thermocellum];495;Copper amine oxidase-like domain-containing protein;100.00% [495/495];;;Uniprot (A3DKA4)|Interpro (A3DKA4);KEGG (cth:Cthe_3188)|KEGG GM (cth:Cthe_3188);Interpro (IPR012854)|Interpro (IPR036582)|Pfam (PF07833);NCBI (489611664)|EMBL (CP000568);
166;ADU75818.1 hypothetical protein Clo1313_2838 [Hungateiclostridium thermocellum DSM 1313];Blast running;;;;;;;;;
167;WP_003518728.1 hypothetical protein [Hungateiclostridium thermocellum];224;Uncharacterized protein;100.00% [224/224];GO:0016021 - integral component of membrane;;Uniprot (A3DDM4)|Interpro (A3DDM4);KEGG (cth:Cthe_0818)|KEGG GM (cth:Cthe_0818);;NCBI (489614287)|EMBL (CP000568);
168;WP_003512407.1 hypothetical protein [Hungateiclostridium thermocellum];123;Uncharacterized protein;100.00% [123/123];;;Uniprot (A3DC23)|Interpro (A3DC23);KEGG (cth:Cthe_0263)|KEGG GM (cth:Cthe_0263);;NCBI (489607966)|EMBL (CP000568);
169;WP_003512192.1 DUF1292 domain-containing protein [Hungateiclostridium thermocellum];96;UPF0473 protein Cthe_0154;100.00% [96/96];;;Uniprot (A3DBR6)|Interpro (A3DBR6);KEGG (cth:Cthe_0154)|KEGG GM (cth:Cthe_0154);Interpro (IPR009711)|Pfam (PF06949);NCBI (489607751)|EMBL (CP000568);
170;WP_003515648.1 hypothetical protein [Hungateiclostridium thermocellum];181;Uncharacterized protein;100.00% [181/181];;;Uniprot (A3DEA0)|Interpro (A3DEA0);KEGG (cth:Cthe_1047)|KEGG GM (cth:Cthe_1047);;NCBI (489611207)|EMBL (CP000568);
171;WP_003522631.1 hypothetical protein [Hungateiclostridium thermocellum];1971;Uncharacterized protein;98.35% [1971/2004];GO:0016021 - integral component of membrane;;Uniprot (A3DH14)|Interpro (A3DH14);KEGG (cth:Cthe_2032)|KEGG GM (cth:Cthe_2032);Interpro (IPR013783);NCBI (521293422)|EMBL (CP000568);
172;WP_003520661.1 copper amine oxidase N-terminal domain-containing protein [Hungateiclostridium thermocellum];319;Copper amine oxidase-like domain-containing protein;100.00% [319/319];;;Uniprot (A3DGC0)|Interpro (A3DGC0);KEGG (cth:Cthe_1778)|KEGG GM (cth:Cthe_1778);Interpro (IPR012854)|Interpro (IPR036582)|Pfam (PF07833);NCBI (489616221)|EMBL (CP000568);
173;WP_003519055.1 (2Fe-2S) ferredoxin domain-containing protein [Hungateiclostridium thermocellum];81;Uncharacterized protein;100.00% [81/81];;;Uniprot (A3DCI4)|Interpro (A3DCI4);KEGG (cth:Cthe_0425)|KEGG GM (cth:Cthe_0425);Interpro (IPR036249);NCBI (489614614)|EMBL (CP000568);
174;WP_003515644.1 hypothetical protein [Hungateiclostridium thermocellum];108;Uncharacterized protein;100.00% [108/108];;;Uniprot (A3DE98)|Interpro (A3DE98);KEGG (cth:Cthe_1045)|KEGG GM (cth:Cthe_1045);;NCBI (489611203)|EMBL (CP000568);
175;WP_003512409.1 hypothetical protein [Hungateiclostridium thermocellum];141;Uncharacterized protein;100.00% [141/141];;;Uniprot (A3DC24)|Interpro (A3DC24);KEGG (cth:Cthe_0264)|KEGG GM (cth:Cthe_0264);;NCBI (489607968)|EMBL (CP000568);
176;WP_003515640.1 hypothetical protein [Hungateiclostridium thermocellum];80;Uncharacterized protein;100.00% [80/80];;;Uniprot (A3DE96)|Interpro (A3DE96);KEGG (cth:Cthe_1043)|KEGG GM (cth:Cthe_1043);;NCBI (125713783)|EMBL (CP000568);
