ProeinID	KO_terms	KEGG_Term	Score	Second best	
WP_003517395.1	K07138	uncharacterized protein	288		
WP_003517398.1	K01876	aspS; aspartyl-tRNA synthetase [EC:6.1.1.12]	371		
WP_003517399.1	K02435	gatC; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]	33		
WP_003517401.1	K02433	gatA; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]	347		
WP_003517403.1	K02434	gatB; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]	283		
WP_003517405.1	K01915	glnA; glutamine synthetase [EC:6.3.1.2]	497		
WP_003517408.1			177		
WP_003517410.1			14	K06131	1
WP_003517412.1	K01990	ABC-2.A; ABC-2 type transport system ATP-binding protein	175		
WP_003517414.1	K01992	ABC-2.P; ABC-2 type transport system permease protein	70		
WP_003517416.1			72	K01869	1
WP_003517434.1	K01869	LARS; leucyl-tRNA synthetase [EC:6.1.1.4]	610		
WP_003517436.1	K09710	ybeB; ribosome-associated protein	75		
WP_003517438.1			7	K20520	1
WP_003517440.1			121		
WP_003517442.1	K00969	nadD; nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]	150		
WP_003517444.1			35	K00554	2
WP_003517446.1			56	K20444	1
WP_003517447.1	K01945	purD; phosphoribosylamine---glycine ligase [EC:6.3.4.13]	284		
WP_003517450.1	K00602	purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]	387		
WP_003517452.1	K11175	purN; phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]	169		
WP_003517454.1	K01933	purM; phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]	224		
WP_003517455.1	K00764	purF; amidophosphoribosyltransferase [EC:2.4.2.14]	295		
WP_003517457.1	K01588	purE; 5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]	90		
WP_003517459.1	K06901	"pbuG; putative MFS transporter, AGZA family, xanthine/uracil permease"	265		
WP_003517461.1	K07088	uncharacterized protein	106		
WP_003517463.1			387		
WP_003517464.1			18		
WP_003517475.1			11	K01222	1
WP_003517480.1	K05349	bglX; beta-glucosidase [EC:3.2.1.21]	521		
WP_003517483.1			23	K01179	1
WP_003517485.1			29	K01448	1
WP_003517487.1	K08744	CRLS; cardiolipin synthase (CMP-forming) [EC:2.7.8.41]	20	K00995	16
WP_003517488.1	K07107	ybgC; acyl-CoA thioester hydrolase [EC:3.1.2.-]	101		
WP_003517489.1	K00850	pfkA; 6-phosphofructokinase 1 [EC:2.7.1.11]	210		
WP_003517490.1			26	K02314	1
WP_003517491.1	K06285	mtrB; transcription attenuation protein (tryptophan RNA-binding attenuator protein)	64		
WP_003517492.1	K02337	dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7]	753		
WP_003517493.1	K01835	pgm; phosphoglucomutase [EC:5.4.2.2]	418		
WP_003517494.1	K03406	mcp; methyl-accepting chemotaxis protein	30		
WP_003517495.1			130		
WP_003517496.1	K07777	"degS; two-component system, NarL family, sensor histidine kinase DegS [EC:2.7.13.3]"	198		
WP_003517497.1			338		
WP_003517498.1	K13963	SERPINB; serpin B	163		
WP_003517499.1			39	K15921	23
WP_003517500.1	K03093	sigI; RNA polymerase sigma factor	76		
WP_003517501.1			12	K20844	1
WP_003517502.1			212		
WP_003517504.1	K00954	E2.7.7.3A; pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]	106		
WP_003517505.1			79	K08316	4
WP_003517507.1	K02902	RP-L28; large subunit ribosomal protein L28	39		
WP_003517508.1			11	K03385	1
WP_003517509.1			43	K13184	1
WP_003517512.1	K10773	NTH; endonuclease III [EC:4.2.99.18]	132		
WP_003517514.1	K00703	glgA; starch synthase [EC:2.4.1.21]	308		
WP_003517525.1	K04771	degP; serine protease Do [EC:3.4.21.107]	107		
WP_003517527.1			197		
WP_003517532.1			3	K21348	1
WP_003517534.1			14	K03075	1
WP_003517535.1	K07045	uncharacterized protein	44		
WP_003517537.1	K15635	"apgM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"	263		
WP_003517539.1			117		
WP_003517545.1	K01934	MTHFS; 5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]	117		
WP_003517548.1			6	K08816	1
WP_003517549.1	K00768	E2.4.2.21; nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21]	271		
WP_003517550.1	K02897	RP-L25; large subunit ribosomal protein L25	17		
WP_003517551.1			20	K08978	1
WP_003517561.1			21	K01676	1
WP_003517563.1			58	K03466	1
WP_003517565.1			4	K00761	2
WP_003517567.1					
WP_003517569.1			165		
WP_003517571.1	K20344	"blpA; ATP-binding cassette, subfamily C, bacteriocin exporter"	412		
WP_003517578.1			28	K21086	1
WP_003517581.1	K01179	E3.2.1.4; endoglucanase [EC:3.2.1.4]	177		
WP_003517583.1			144		
WP_003517585.1			165		
WP_003517588.1	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein	179		
WP_003517590.1	K02004	ABC.CD.P; putative ABC transport system permease protein	351		
WP_003517592.1			272		
WP_003517593.1	K07043	uncharacterized protein	84		
WP_003517595.1	K01179	E3.2.1.4; endoglucanase [EC:3.2.1.4]	324		
WP_003517597.1	K20074	prpC; PPM family protein phosphatase [EC:3.1.3.16]	66	K11915	3
WP_003517600.1	K03711	"fur; Fur family transcriptional regulator, ferric uptake regulator"	42	K02076	5
WP_003517602.1	K09815	znuA; zinc transport system substrate-binding protein	198		
WP_003517604.1	K09817	znuC; zinc transport system ATP-binding protein [EC:3.6.3.-]	124		
WP_003517607.1	K09816	znuB; zinc transport system permease protein	171		
WP_003517609.1	K04079	HSP90A; molecular chaperone HtpG	382		
WP_003517611.1	K01895	ACSS; acetyl-CoA synthetase [EC:6.2.1.1]	534		
WP_003517613.1			109		
WP_003517615.1			146		
WP_003517617.1	K01952	purL; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]	921		
WP_003517619.1					
WP_003517621.1	K01953	asnB; asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]	419		
WP_003517623.1			143		
WP_003517625.1			4	K01928	3
WP_003517627.1			131		
WP_003517629.1	K03885	ndh; NADH dehydrogenase [EC:1.6.99.3]	291		
WP_003517630.1	K03734	apbE; FAD:protein FMN transferase [EC:2.7.1.180]	155		
WP_003517632.1			33	K00805	1
WP_003517633.1	K00805	hepST; heptaprenyl diphosphate synthase [EC:2.5.1.30]	63		
WP_003517635.1	K00805	hepST; heptaprenyl diphosphate synthase [EC:2.5.1.30]	133		
WP_003517637.1			32	K03723	1
WP_003517639.1	K04066	priA; primosomal protein N' (replication factor Y) (superfamily II helicase) [EC:3.6.4.-]	404		
WP_003517641.1	K01462	PDF; peptide deformylase [EC:3.5.1.88]	110		
WP_003517644.1	K09729	uncharacterized protein	106		
WP_003517648.1	K06973	uncharacterized protein	159		
WP_003517649.1	K03500	rsmB; 16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]	245		
WP_003517651.1	K06941	rlmN; 23S rRNA (adenine2503-C2)-methyltransferase [EC:2.1.1.192]	214		
WP_003517653.1	K20074	prpC; PPM family protein phosphatase [EC:3.1.3.16]	120		
WP_003517654.1	K12132	prkC; eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]	239		
WP_003517657.1	K06949	rsgA; ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]	154		
WP_003517659.1	K01783	rpe; ribulose-phosphate 3-epimerase [EC:5.1.3.1]	145		
WP_003517661.1	K00949	thiN; thiamine pyrophosphokinase [EC:2.7.6.2]	107		
WP_003517663.1	K01179	E3.2.1.4; endoglucanase [EC:3.2.1.4]	244		
WP_003517666.1			147		
WP_003517667.1	K11358	yhdR; aspartate aminotransferase [EC:2.6.1.1]	255		
WP_003517674.1			124		
WP_003517677.1	K07315	rsbU_P; phosphoserine phosphatase RsbU/P [EC:3.1.3.3]	35		
WP_003517679.1	K09764	uncharacterized protein	40		
WP_003517709.1			127	K02483	13
WP_003517711.1			121		
WP_003517712.1	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein	133		
WP_003517713.1	K02004	ABC.CD.P; putative ABC transport system permease protein	105		
WP_003517715.1			29	K17836	1
WP_003517717.1			101		
WP_003517719.1			119		
WP_003517722.1			17	K01448	2
WP_003517724.1			25	K11751	1
WP_003517725.1	K06969	rlmI; 23S rRNA (cytosine1962-C5)-methyltransferase [EC:2.1.1.191]	267		
WP_003517726.1	K13730	inlA; internalin A	14		
WP_003517733.1			106		
WP_003517736.1	K06949	rsgA; ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]	165		
WP_003517739.1					
WP_003517741.1			162		
WP_003517742.1	K06223	dam; DNA adenine methylase [EC:2.1.1.72]	195		
WP_003517747.1	K01155	E3.1.21.4; type II restriction enzyme [EC:3.1.21.4]	51		
WP_003517748.1			146		
WP_003517750.1			108		
WP_003517752.1	K09155	uncharacterized protein	254		
WP_003517754.1	K00537	ARSC1; arsenate reductase [EC:1.20.4.1]	75		
WP_003517756.1			31		
WP_003517764.1			27	K01448	1
WP_003517766.1			128		
WP_003517768.1			38		
WP_003517769.1			28	K06075	2
WP_003517772.1	K06147	"ABCB-BAC; ATP-binding cassette, subfamily B, bacterial"	304		
WP_003517773.1	K06147	"ABCB-BAC; ATP-binding cassette, subfamily B, bacterial"	200		
WP_003517774.1	K03320	"amt; ammonium transporter, Amt family"	380		
WP_003517776.1	K03406	mcp; methyl-accepting chemotaxis protein	135		
WP_003517777.1			22	K01480	1
WP_003517778.1			77		
WP_003517779.1	K08978	TC.BAT1; bacterial/archaeal transporter family protein	103		
WP_003517781.1			52		
WP_003517783.1			199		
WP_003517785.1			38		
WP_003517787.1			18	K07399	1
WP_003517789.1			26		
WP_003517791.1	K03406	mcp; methyl-accepting chemotaxis protein	59		
WP_003517796.1	K03574	mutT; 8-oxo-dGTP diphosphatase [EC:3.6.1.55]	61		
WP_003517797.1			195		
WP_003517800.1			52		
WP_003517802.1			46	K01937	1
WP_003517805.1			109		
WP_003517807.1	K01421	yhgE; putative membrane protein	53		
WP_003517810.1	K07003	uncharacterized protein	402		
WP_003517812.1			20		
WP_003517815.1			63		
WP_003517817.1	K01494	dcd; dCTP deaminase [EC:3.5.4.13]	129		
WP_003517819.1			21	K03788	1
WP_003517821.1			14	K03216	1
WP_003517823.1			7	K02172	1
WP_003517824.1	K19784	"chrR; chromate reductase, NAD(P)H dehydrogenase (quinone)"	71		
WP_003517826.1	K01179	E3.2.1.4; endoglucanase [EC:3.2.1.4]	58		
WP_003517828.1			51	K01179	2
WP_003517830.1	K03088	"rpoE; RNA polymerase sigma-70 factor, ECF subfamily"	52		
WP_003517832.1			5	K13573	1
WP_003517834.1			144		
WP_003517836.1	K03564	BCP; peroxiredoxin Q/BCP [EC:1.11.1.15]	129		
WP_003517839.1			14	K16860	1
WP_003517840.1			19	K15773	1
WP_003517853.1			67	K07315	21
WP_003517862.1			27	K15032	1
WP_003517864.1			31		
WP_003517868.1	K00075	murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	186		
WP_003517869.1	K06958	rapZ; RNase adapter protein RapZ	183		
WP_003517870.1	K06406	spoVAD; stage V sporulation protein AD	295		
WP_003517873.1			152		
WP_003517875.1	K02078	acpP; acyl carrier protein	18		
WP_003517877.1			12	K01054	1
WP_003517880.1	K00927	PGK; phosphoglycerate kinase [EC:2.7.2.3]	324	K00927/K01803	18
WP_003517888.1	K07009	uncharacterized protein	146		
WP_003517891.1			208		
WP_003517897.1			68		
WP_003517900.1	K03590	ftsA; cell division protein FtsA	173		
WP_003517903.1	K03531	ftsZ; cell division protein FtsZ	244		
WP_003517906.1	K06383	spoIIGA; stage II sporulation protein GA (sporulation sigma-E factor processing peptidase) [EC:3.4.23.-]	159		
WP_003517908.1	K03091	sigH; RNA polymerase sporulation-specific sigma factor	176		
WP_003517911.1	K03091	sigH; RNA polymerase sporulation-specific sigma factor	220		
WP_003517913.1			55		
WP_003517916.1	K07738	nrdR; transcriptional repressor NrdR	116		
WP_003517918.1			124		
WP_003517920.1			12	K01448	1
WP_003517923.1			26	K02057	2
WP_003517925.1			28	K05402	1
WP_003517928.1	K07391	comM; magnesium chelatase family protein	336		
WP_003517930.1			176		
WP_003517933.1			80		
WP_003517935.1	K01142	E3.1.11.2; exodeoxyribonuclease III [EC:3.1.11.2]	198		
WP_003517936.1	K04096	smf; DNA processing protein	182		
WP_003517938.1	K03168	topA; DNA topoisomerase I [EC:5.99.1.2]	465		
WP_003517940.1	K04094	trmFO; methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase [EC:2.1.1.74]	304		
WP_003517942.1	K02387	flgB; flagellar basal-body rod protein FlgB	61		
WP_003517944.1	K02388	flgC; flagellar basal-body rod protein FlgC	103		
WP_003517946.1	K02408	fliE; flagellar hook-basal body complex protein FliE	33		
WP_003517948.1	K02409	fliF; flagellar M-ring protein FliF	150		
WP_003517950.1	K02410	fliG; flagellar motor switch protein FliG	261		
WP_003517951.1	K02411	fliH; flagellar assembly protein FliH	53		
WP_003517953.1	K02412	fliI; flagellum-specific ATP synthase [EC:3.6.3.14]	310		
WP_003517955.1	K02413	fliJ; flagellar FliJ protein	31		
WP_003517957.1			14	K02383	1
WP_003517959.1	K02414	fliK; flagellar hook-length control protein FliK	10		
WP_003517961.1	K02389	flgD; flagellar basal-body rod modification protein FlgD	19		
WP_003517963.1			42		
WP_003517965.1	K02390	flgE; flagellar hook protein FlgE	222		
WP_003517967.1	K02385	flbD; flagellar protein FlbD	29		
WP_003517969.1			42	K09697	1
WP_003517971.1	K02416	fliM; flagellar motor switch protein FliM	259		
WP_003517972.1	K02417	fliNY; flagellar motor switch protein FliN/FliY	202		
WP_003517974.1	K03413	"cheY; two-component system, chemotaxis family, chemotaxis protein CheY"	102		
WP_003517976.1					
WP_003517978.1	K02419	fliP; flagellar biosynthetic protein FliP	201		
WP_003517979.1	K02420	fliQ; flagellar biosynthetic protein FliQ	53		
WP_003517981.1	K02421	fliR; flagellar biosynthetic protein FliR	168		
WP_003517982.1	K02401	flhB; flagellar biosynthetic protein FlhB	231		
WP_003517983.1	K02400	flhA; flagellar biosynthesis protein FlhA	431		
WP_003517984.1	K02404	flhF; flagellar biosynthesis protein FlhF	166		
WP_003517985.1	K04562	flhG; flagellar biosynthesis protein FlhG	151		
WP_003517986.1			66		
WP_003517987.1	K03412	"cheB; two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]"	182		
WP_003517988.1	K03407	"cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]"	383		
WP_003517989.1	K03408	cheW; purine-binding chemotaxis protein CheW	91		
WP_003517991.1	K03411	cheD; chemotaxis protein CheD [EC:3.5.1.44]	124		
WP_003517992.1			4	K07305	1
WP_003517993.1	K02405	fliA; RNA polymerase sigma factor for flagellar operon FliA	146		
WP_003517994.1	K09749	uncharacterized protein	187		
WP_003517995.1			14		
WP_003517996.1			9	K02109	1
WP_003517997.1			7	K07082	2
WP_003518000.1	K01975	"thpR; RNA 2',3'-cyclic 3'-phosphodiesterase [EC:3.1.4.58]"	59		
WP_003518001.1	K07282	capA; gamma-polyglutamate biosynthesis protein CapA	105		
WP_003518002.1	K00656	E2.3.1.54; formate C-acetyltransferase [EC:2.3.1.54]	583		
WP_003518003.1	K04069	pflA; pyruvate formate lyase activating enzyme [EC:1.97.1.4]	147		
WP_003518004.1			51		
WP_003518005.1			4	K06078	2
WP_003518006.1			4	K01573	2
WP_003518007.1	K01572	"oadB; oxaloacetate decarboxylase, beta subunit [EC:4.1.1.3]"	252		
WP_003518008.1			34	K11527	2
WP_003518023.1	K12573	rnr; ribonuclease R [EC:3.1.-.-]	422		
WP_003518029.1	K18707	mtaB; threonylcarbamoyladenosine tRNA methylthiotransferase MtaB [EC:2.8.4.5]	272		
WP_003518031.1			203		
WP_003518034.1			440		
WP_003518046.1	K08301	rng; ribonuclease G [EC:3.1.26.-]	239		
WP_003518049.1	K03979	obgE; GTPase [EC:3.6.5.-]	257		
WP_003518053.1			142		
WP_003518067.1	K06298	gerM; germination protein M	110		
WP_003518069.1	K02428	rdgB; XTP/dITP diphosphohydrolase [EC:3.6.1.66]	143		
WP_003518070.1	K13963	SERPINB; serpin B	54		
WP_003518072.1			273		
WP_003518074.1					
WP_003518076.1			394		
WP_003518077.1	K03657	uvrD; DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]	291		
WP_003518079.1	K07462	recJ; single-stranded-DNA-specific exonuclease [EC:3.1.-.-]	46		
WP_003518083.1			15	K16698	3
WP_003518117.1			143		
WP_003518120.1			182		
WP_003518129.1			18	K06119	2
WP_003518131.1			1		
WP_003518135.1	K00783	rlmH; 23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]	115		
WP_003518136.1			109		
WP_003518139.1			287		
WP_003518143.1	K19090	cas5t; CRISPR-associated protein Cas5t	55	K19116	5
WP_003518145.1	K07012	cas3; CRISPR-associated endonuclease/helicase Cas3 [EC:3.1.-.- 3.6.4.-]	198		
WP_003518160.1			129		
WP_003518163.1			121		
WP_003518165.1	K02669	pilT; twitching motility protein PilT	221		
WP_003518171.1	K01183	E3.2.1.14; chitinase [EC:3.2.1.14]	157		
WP_003518173.1	K07258	dacC; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]	166		
WP_003518175.1	K01179	E3.2.1.4; endoglucanase [EC:3.2.1.4]	90		
WP_003518177.1	K00702	E2.4.1.20; cellobiose phosphorylase [EC:2.4.1.20]	654		
WP_003518180.1			322		
WP_003518182.1	K06923	uncharacterized protein	217		
WP_003518187.1			379	K10844	83
WP_003518194.1			18	K00666	1
WP_003518218.1	K00928	lysC; aspartate kinase [EC:2.7.2.4]	297		
WP_003518220.1	K00003	E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]	264		
WP_003518225.1			186		
WP_003518228.1			173		
WP_003518229.1	K03413	"cheY; two-component system, chemotaxis family, chemotaxis protein CheY"	36		
WP_003518233.1	K07001	NTE family protein	127		
WP_003518235.1			13	K05807	1
WP_003518237.1	K11754	folC; dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17]	232		
WP_003518239.1	K03070	secA; preprotein translocase subunit SecA	631		
WP_003518240.1			18	K00406	1
WP_003518242.1			20	K02823	1
WP_003518248.1			139		
WP_003518251.1	K01649	leuA; 2-isopropylmalate synthase [EC:2.3.3.13]	343		
WP_003518259.1	K07658	"phoB1; two-component system, OmpR family, alkaline phosphatase synthesis response regulator PhoP"	152		
WP_003518261.1					
WP_003518263.1	K06131	clsA_B; cardiolipin synthase A/B [EC:2.7.8.-]	320		
WP_003518265.1			184		
WP_003518268.1			388		
WP_003518270.1			85		
WP_003518272.1	K01224	"E3.2.1.89; arabinogalactan endo-1,4-beta-galactosidase [EC:3.2.1.89]"	143		
WP_003518280.1			26	K04752	1
WP_003518283.1			67		
WP_003518285.1	K04758	feoA; ferrous iron transport protein A	53		
WP_003518291.1			159		
WP_003518293.1			132		
WP_003518296.1			149		
WP_003518298.1			147	K07770	14
WP_003518301.1			141		
WP_003518303.1	K01695	trpA; tryptophan synthase alpha chain [EC:4.2.1.20]	180		
WP_003518305.1	K01696	trpB; tryptophan synthase beta chain [EC:4.2.1.20]	468		
WP_003518307.1			101		
WP_003518310.1			37	K10121	1
WP_003518311.1			128	K01990	30
WP_003518313.1			6	K01322	1
WP_003518315.1			19	K16291	1
WP_003518316.1			109		
WP_003518318.1	K04773	sppA; protease IV [EC:3.4.21.-]	120		
WP_003518334.1	K01709	"rfbG; CDP-glucose 4,6-dehydratase [EC:4.2.1.45]"	180		
WP_003518337.1			59		
WP_003518339.1			116		
WP_003518341.1			109		
WP_003518346.1			8	K20628	1
WP_003518353.1			12	K06147	1
WP_003518355.1			52		
WP_003518356.1	K03154	thiS; sulfur carrier protein	31		
WP_003518357.1	K00955	cysNC; bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]	363		
WP_003518358.1	K02047	cysW; sulfate transport system permease protein	221		
WP_003518359.1	K02304	MET8; precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:1.3.1.76 4.99.1.4]	22	K02302	6
WP_003518360.1			80		
WP_003518361.1			20		
WP_003518362.1	K08974	putative membrane protein	109		
WP_003518379.1	K01179	E3.2.1.4; endoglucanase [EC:3.2.1.4]	300		
WP_003518381.1	K01179	E3.2.1.4; endoglucanase [EC:3.2.1.4]	147		
WP_003518383.1			153		
WP_003518386.1			28	K01448	2
WP_003518388.1			149	K00721	
WP_003518390.1			29	K01448	1
WP_003518392.1			160		
WP_003518396.1			230		
WP_003518398.1			16	K16779	1
WP_003518399.1			451		
WP_003518401.1			16	K01179	1
WP_003518403.1	K03523	bioY; biotin transport system substrate-specific component	63		
WP_003518405.1			198	K01138	15
WP_003518407.1	K03324	yjbB; phosphate:Na+ symporter	123		
WP_003518419.1			1	K14292	
WP_003518422.1			5	K09992	1
WP_003518444.1	K01181	"E3.2.1.8; endo-1,4-beta-xylanase [EC:3.2.1.8]"	127		
WP_003518445.1	K06959	tex; protein Tex	484		
WP_003518448.1	K01449	cwlJ; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]	142		
WP_003518449.1			17	K06298	3
WP_003518450.1			11	K03100	1
WP_003518452.1	K06213	mgtE; magnesium transporter	278		
WP_003518453.1	K01921	ddl; D-alanine-D-alanine ligase [EC:6.3.2.4]	210		
WP_003518454.1			166		
WP_003518455.1	K03408	cheW; purine-binding chemotaxis protein CheW	70		
WP_003518456.1	K03407	"cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]"	281		
WP_003518457.1			16	K03406	9
WP_003518458.1	K00575	cheR; chemotaxis protein methyltransferase CheR [EC:2.1.1.80]	101		
WP_003518460.1	K02030	ABC.PA.S; polar amino acid transport system substrate-binding protein	58	K02029/K02030	4
WP_003518465.1			1	K01923	1
WP_003518468.1			168		
WP_003518472.1	K02120	ATPVD; V/A-type H+/Na+-transporting ATPase subunit D	141		
WP_003518476.1	K02122	ATPVF; V/A-type H+/Na+-transporting ATPase subunit F	63		
WP_003518478.1	K02119	ATPVC; V/A-type H+/Na+-transporting ATPase subunit C	175		
WP_003518481.1	K02123	ATPVI; V/A-type H+/Na+-transporting ATPase subunit I	285		
WP_003518483.1	K02107	ATPVG; V/A-type H+/Na+-transporting ATPase subunit G/H	10	K02109	2
WP_003518486.1	K00789	metK; S-adenosylmethionine synthetase [EC:2.5.1.6]	336		
WP_003518489.1			71		
WP_003518492.1	K02396	flgK; flagellar hook-associated protein 1 FlgK	194		
WP_003518494.1	K02396	flgK; flagellar hook-associated protein 1 FlgK	225		
WP_003518507.1			146		
WP_003518511.1	K01728	pel; pectate lyase [EC:4.2.2.2]	13		
WP_003518514.1	K01051	E3.1.1.11; pectinesterase [EC:3.1.1.11]	62		
WP_003518516.1	K01881	PARS; prolyl-tRNA synthetase [EC:6.1.1.15]	391		
WP_003518519.1	K16785	ecfT; energy-coupling factor transport system permease protein	222		
WP_003518521.1	K16787	ecfA2; energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]	173		
WP_003518524.1	K06400	spoIVCA; site-specific DNA recombinase	26		
WP_003518526.1			208		
WP_003518528.1			12	K12472	1
WP_003518533.1			10	K02316	3
WP_003518535.1			9	K01847	1
WP_003518536.1	K07316	mod; adenine-specific DNA-methyltransferase [EC:2.1.1.72]	35	K00571	11
WP_003518538.1			2	K00910	1
WP_003518540.1			164		
WP_003518542.1	K00564	rsmC; 16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172]	87		
WP_003518543.1	K16786	ecfA1; energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]	166		
WP_003518549.1	K00939	adk; adenylate kinase [EC:2.7.4.3]	143		
WP_003518554.1	K02890	RP-L22; large subunit ribosomal protein L22	60		
WP_003518557.1	K02886	RP-L2; large subunit ribosomal protein L2	225		
WP_003518570.1			3	K00958	1
WP_003518573.1			15	K02523	1
WP_003518575.1	K03340	dapdh; diaminopimelate dehydrogenase [EC:1.4.1.16]	242		
WP_003518577.1			55	K17560	1
WP_003518579.1			32	K16648	
WP_003518582.1			124		
WP_003518584.1	K03110	ftsY; fused signal recognition particle receptor	171		
WP_003518588.1	K22024	pdxA2; 4-phospho-D-threonate 3-dehydrogenase / 4-phospho-D-erythronate 3-dehydrogenase [EC:1.1.1.408 1.1.1.409]	290		
WP_003518590.1	K06416	spoVS; stage V sporulation protein S	92		
WP_003518592.1			170		
WP_003518593.1	K03685	rnc; ribonuclease III [EC:3.1.26.3]	132		
WP_003518595.1	K09458	fabF; 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]	270	K14660	28
WP_003518597.1	K02078	acpP; acyl carrier protein	55		
WP_003518601.1	K00059	fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	157		
WP_003518603.1	K00645	fabD; [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	202		
WP_003518605.1	K00648	fabH; 3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]	204		
WP_003518607.1	K03621	plsX; glycerol-3-phosphate acyltransferase PlsX [EC:2.3.1.15]	220		
WP_003518610.1			5	K18200	1
WP_003518612.1			22	K01999	1
WP_003518614.1	K00995	pgsA; CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]	124		
WP_003518616.1	K14441	rimO; ribosomal protein S12 methylthiotransferase [EC:2.8.4.4]	251		
WP_003518618.1			9	K09060	1
WP_003518620.1			144	K03546	25
WP_003518624.1			24	K22305	11
WP_003518626.1	K17828	pyrDI; dihydroorotate dehydrogenase (NAD+) catalytic subunit [EC:1.3.1.14]	196		
WP_003518631.1	K01955	carB; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]	748		
WP_003518633.1	K01956	carA; carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	244		
WP_003518635.1	K01591	pyrF; orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]	245		
WP_003518637.1	K01465	URA4; dihydroorotase [EC:3.5.2.3]	295		
WP_003518639.1	K00609	pyrB; aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]	210		
WP_003518641.1			33	K10610	
WP_003518642.1	K02825	pyrR; pyrimidine operon attenuation protein / uracil phosphoribosyltransferase [EC:2.4.2.9]	124		
WP_003518645.1			18	K01865	1
WP_003518647.1			23	K11446	1
WP_003518649.1	K03210	yajC; preprotein translocase subunit YajC	34		
WP_003518650.1	K00773	tgt; queuine tRNA-ribosyltransferase [EC:2.4.2.29]	411		
WP_003518652.1	K07568	queA; S-adenosylmethionine:tRNA ribosyltransferase-isomerase [EC:2.4.99.17]	335		
WP_003518655.1	K06381	spoIID; stage II sporulation protein D	225		
WP_003518656.1	K00133	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	259		
WP_003518658.1	K01714	dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]	245		
WP_003518660.1	K00215	dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	163		
WP_003518661.1	K00928	lysC; aspartate kinase [EC:2.7.2.4]	10		
WP_003518662.1	K19221	cobA; cob(I)alamin adenosyltransferase [EC:2.5.1.17]	105		
WP_003518663.1			5	K21472	1
